GEO,T-Y15-24,F-Y15-24,M-Y15-24,T-Y-GE25,F-Y-GE25,M-Y-GE25
RO41,18.2,10.9,22.7,6.5,4.9,7.8
RO42,19.6,18.8,20.3,6.5,4.9,7.8
RO42,19.6,18.8,20.3,4.9,4.5,5.3
SI,14.7,13.8,15.2,4.9,4.5,5.3
SI,14.7,13.8,15.2,6.5,6.4,6.5
SI0,14.7,13.8,15.2,6.5,6.4,6.5
SI0,14.7,13.8,15.2,6.5,6.4,6.5
SI01,15.4,15.3,15.4,6.5,6.4,6.5
SI01,15.4,15.3,15.4,7.1,7.5,6.8
SI02,13.9,12.4,15.0,7.1,7.5,6.8
SI02,13.9,12.4,15.0,5.8,5.2,6.2
SK,33.6,31.9,34.6,5.8,5.2,6.2
SK,33.6,31.9,34.6,12.5,13.1,12.0
SK0,33.6,31.9,34.6,12.5,13.1,12.0
SK0,33.6,31.9,34.6,12.5,13.1,12.0
SK01,15.2,13.3,16.4,12.5,13.1,12.0
SK01,15.2,13.3,16.4,5.5,4.6,6.4
SK02,30.8,31.6,30.3,5.5,4.6,6.4
SK02,30.8,31.6,30.3,10.9,12.4,9.7
SK03,36.2,33.5,38.1,10.9,12.4,9.7
SK03,36.2,33.5,38.1,14.4,15.2,13.8
SK04,39.7,36.6,41.7,14.4,15.2,13.8
SK04,39.7,36.6,41.7,16.1,16.4,15.8
FI,21.4,19.0,23.8,16.1,16.4,15.8
FI,21.4,19.0,23.8,6.6,6.0,7.2
FI1,21.4,19.1,23.9,6.6,6.0,7.2
FI1,21.4,19.1,23.9,6.7,6.1,7.2
FI13,25.1,24.2,25.9,6.7,6.1,7.2
FI13,25.1,24.2,25.9,8.2,7.2,9.1
FI18,19.7,17.6,21.9,8.2,7.2,9.1
FI18,19.7,17.6,21.9,5.8,5.5,6.2
FI19,22.8,20.1,25.3,5.8,5.5,6.2
FI19,22.8,20.1,25.3,7.0,6.1,7.8
FI1A,22.9,19.1,26.2,7.0,6.1,7.8
FI1A,22.9,19.1,26.2,8.2,7.6,8.8
FI2,9.9,11.7,8.7,8.2,7.6,8.8
FI2,9.9,11.7,8.7,2.4,1.9,2.8
FI20,9.9,11.7,8.7,2.4,1.9,2.8
FI20,9.9,11.7,8.7,2.4,1.9,2.8
SE,25.2,23.7,26.6,2.4,1.9,2.8
SE,25.2,23.7,26.6,5.9,5.9,5.9
SE1,24.1,23.5,24.7,5.9,5.9,5.9
SE1,24.1,23.5,24.7,5.8,6.1,5.6
SE11,21.5,21.4,21.7,5.8,6.1,5.6
SE11,21.5,21.4,21.7,5.3,5.5,5.1
SE12,27.1,26.0,28.2,5.3,5.5,5.1
SE12,27.1,26.0,28.2,6.7,7.0,6.4
SE2,25.5,23.2,27.7,6.7,7.0,6.4
SE2,25.5,23.2,27.7,5.8,5.7,5.9
SE21,22.4,24.2,20.8,5.8,5.7,5.9
SE21,22.4,24.2,20.8,5.5,5.0,5.9
SE22,27.0,23.7,30.6,5.5,5.0,5.9
SE22,27.0,23.7,30.6,5.9,6.1,5.7
SE23,25.7,22.5,28.8,5.9,6.1,5.7
SE23,25.7,22.5,28.8,5.8,5.6,6.0
SE3,26.8,25.6,27.7,5.8,5.6,6.0
SE3,26.8,25.6,27.7,6.3,6.0,6.6
SE31,24.2,23.1,25.1,6.3,6.0,6.6
SE31,24.2,23.1,25.1,6.2,6.1,6.3
SE32,32.9,33.6,32.3,6.2,6.1,6.3
SE32,32.9,33.6,32.3,6.7,6.6,6.8
SE33,26.8,24.5,28.7,6.7,6.6,6.8
SE33,26.8,24.5,28.7,6.3,5.4,7.1
UK,19.6,17.3,21.5,6.3,5.4,7.1
UK,19.6,17.3,21.5,5.7,5.0,6.4
UKC,20.0,18.5,21.4,5.7,5.0,6.4
UKC,20.0,18.5,21.4,7.2,5.9,8.4
UKC1,19.0,16.8,21.1,7.2,5.9,8.4
UKC1,19.0,16.8,21.1,7.2,6.4,7.8
UKC2,21.2,20.6,21.8,7.2,6.4,7.8
UKC2,21.2,20.6,21.8,7.3,5.4,9.0
UKD,20.3,18.4,21.8,7.3,5.4,9.0
UKD,20.3,18.4,21.8,5.6,4.5,6.5
UKD1,24.2,21.3,26.4,5.6,4.5,6.5
UKD1,24.2,21.3,26.4,3.9,3.9,3.9
UKD2,18.5,13.5,22.4,3.9,3.9,3.9
UKD2,18.5,13.5,22.4,4.8,4.2,5.3
UKD3,22.0,22.1,21.9,4.8,4.2,5.3
UKD3,22.0,22.1,21.9,5.9,4.9,6.7
UKD4,15.2,14.3,15.9,5.9,4.9,6.7
UKD4,15.2,14.3,15.9,4.3,3.1,5.3
UKD5,22.8,18.4,26.4,4.3,3.1,5.3
UKD5,22.8,18.4,26.4,7.8,5.5,9.7
UKE,20.9,17.0,24.5,7.8,5.5,9.7
UKE,20.9,17.0,24.5,6.9,5.4,8.1
UKE1,22.0,16.5,28.3,6.9,5.4,8.1
UKE1,22.0,16.5,28.3,7.0,5.3,8.5
UKE2,20.3,17.0,22.9,7.0,5.3,8.5
UKE2,20.3,17.0,22.9,5.0,4.0,5.8
UKE3,20.0,15.8,24.0,5.0,4.0,5.8
UKE3,20.0,15.8,24.0,7.5,5.5,9.3
UKE4,21.0,17.8,23.8,7.5,5.5,9.3
UKE4,21.0,17.8,23.8,7.2,6.0,8.2
UKF,18.3,16.4,20.0,7.2,6.0,8.2
UKF,18.3,16.4,20.0,5.7,5.4,6.0
UKF1,21.0,18.2,23.7,5.7,5.4,6.0
UKF1,21.0,18.2,23.7,6.6,6.4,6.9
UKF2,17.9,16.5,19.2,6.6,6.4,6.9
UKF2,17.9,16.5,19.2,5.3,4.9,5.6
UKF3,11.1,11.3,11.0,5.3,4.9,5.6
UKF3,11.1,11.3,11.0,3.9,3.3,4.3
UKG,22.4,19.3,24.8,3.9,3.3,4.3
UKG,22.4,19.3,24.8,6.6,5.4,7.6
UKG1,21.8,17.2,25.7,6.6,5.4,7.6
UKG1,21.8,17.2,25.7,3.8,2.9,4.6
UKG2,18.0,14.0,21.7,3.8,2.9,4.6
UKG2,18.0,14.0,21.7,6.2,5.4,6.9
UKG3,25.2,23.9,26.1,6.2,5.4,6.9
UKG3,25.2,23.9,26.1,8.3,6.8,9.5
UKH,16.9,16.1,17.5,8.3,6.8,9.5
UKH,16.9,16.1,17.5,4.9,4.4,5.3
UKH1,17.7,17.8,17.7,4.9,4.4,5.3
UKH1,17.7,17.8,17.7,4.7,3.5,5.6
UKH2,16.7,14.3,18.6,4.7,3.5,5.6
UKH2,16.7,14.3,18.6,4.4,4.8,4.1
UKH3,15.9,15.6,16.2,4.4,4.8,4.1
UKH3,15.9,15.6,16.2,5.6,5.2,6.0
UKI,23.4,22.2,24.6,5.6,5.2,6.0
UKI,23.4,22.2,24.6,7.1,7.0,7.1
UKI1,27.8,25.2,30.2,7.1,7.0,7.1
UKI1,27.8,25.2,30.2,7.5,8.1,7.0
UKI2,21.1,20.6,21.6,7.5,8.1,7.0
UKI2,21.1,20.6,21.6,6.8,6.3,7.2
UKJ,16.2,13.4,18.8,6.8,6.3,7.2
UKJ,16.2,13.4,18.8,4.5,4.1,4.7
UKJ1,13.6,12.1,15.0,4.5,4.1,4.7
UKJ1,13.6,12.1,15.0,4.7,4.5,4.8
UKJ2,13.7,12.7,14.5,4.7,4.5,4.8
UKJ2,13.7,12.7,14.5,3.9,4.3,3.6
UKJ3,17.2,14.1,20.2,3.9,4.3,3.6
UKJ3,17.2,14.1,20.2,4.5,3.5,5.3
UKJ4,21.6,14.8,28.4,4.5,3.5,5.3
UKJ4,21.6,14.8,28.4,5.1,4.1,5.9
UKK,15.5,13.9,16.9,5.1,4.1,5.9
UKK,15.5,13.9,16.9,4.3,4.1,4.4
UKK1,14.5,13.9,15.0,4.3,4.1,4.4
UKK1,14.5,13.9,15.0,3.9,3.7,4.1
UKK2,11.6,11.6,11.6,3.9,3.7,4.1
UKK2,11.6,11.6,11.6,4.2,3.7,4.8
UKK3,24.0,25.9,22.5,4.2,3.7,4.8
UKK3,24.0,25.9,22.5,5.5,6.3,4.7
UKK4,18.5,11.6,24.3,5.5,6.3,4.7
UKK4,18.5,11.6,24.3,4.5,4.3,4.7
UKL,24.5,18.8,29.1,4.5,4.3,4.7
UKL,24.5,18.8,29.1,5.7,4.9,6.4
UKL1,26.8,21.0,31.2,5.7,4.9,6.4
UKL1,26.8,21.0,31.2,5.8,4.8,6.8
UKL2,20.8,15.5,25.4,5.8,4.8,6.8
UKL2,20.8,15.5,25.4,5.5,5.0,5.8
UKM,19.7,19.4,19.9,5.5,5.0,5.8
UKM,19.7,19.4,19.9,6.1,4.5,7.5
UKM2,19.7,18.4,21.0,6.1,4.5,7.5
UKM2,19.7,18.4,21.0,5.4,4.5,6.2
UKM3,21.5,21.6,21.4,5.4,4.5,6.2
UKM3,21.5,21.6,21.4,8.0,5.3,10.5
UKM5,12.3,15.0,9.3,8.0,5.3,10.5
UKM5,12.3,15.0,9.3,1.8,1.4,2.1
UKM6,19.3,19.5,19.2,1.8,1.4,2.1
UKM6,19.3,19.5,19.2,5.4,4.0,6.7
UKN,18.9,12.7,24.0,5.4,4.0,6.7
UKN,18.9,12.7,24.0,5.1,3.0,6.9
UKN0,18.9,12.7,24.0,5.1,3.0,6.9
UKN0,18.9,12.7,24.0,5.1,3.0,6.9
IS,16.2,14.1,18.4,5.1,3.0,6.9
IS,16.2,14.1,18.4,5.8,5.1,6.4
IS0,16.2,14.1,18.4,5.8,5.1,6.4
IS0,16.2,14.1,18.4,5.8,5.1,6.4
IS00,16.2,14.1,18.4,5.8,5.1,6.4
IS00,16.2,14.1,18.4,5.8,5.1,6.4
LI,:,:,:,:,:,:
LI0,:,:,:,:,:,:
LI00,:,:,:,:,:,:
NO,9.3,7.5,11.0,:,:,:
NO,9.3,7.5,11.0,2.6,2.2,3.0
NO0,9.3,7.5,11.0,2.6,2.2,3.0
NO0,9.3,7.5,11.0,2.6,2.2,3.0
NO01,10.1,8.1,12.0,2.6,2.2,3.0
NO01,10.1,8.1,12.0,3.2,2.6,3.7
NO02,11.1,7.3,14.5,3.2,2.6,3.7
NO02,11.1,7.3,14.5,2.0,1.1,2.9
NO03,9.6,6.5,12.6,2.0,1.1,2.9
NO03,9.6,6.5,12.6,2.7,2.7,2.7
NO04,5.6,3.2,7.9,2.7,2.7,2.7
NO04,5.6,3.2,7.9,2.1,1.7,2.4
NO05,8.8,7.9,9.7,2.1,1.7,2.4
NO05,8.8,7.9,9.7,2.5,2.1,2.8
NO06,10.1,10.8,9.6,2.5,2.1,2.8
NO06,10.1,10.8,9.6,2.4,2.0,2.8
NO07,11.4,11.1,11.7,2.4,2.0,2.8
NO07,11.4,11.1,11.7,2.4,1.8,2.9
CH,7.9,8.4,7.3,2.4,1.8,2.9
CH,7.9,8.4,7.3,4.0,4.4,3.7
CH0,7.9,8.4,7.3,4.0,4.4,3.7
CH0,7.9,8.4,7.3,4.0,4.4,3.7
CH01,12.9,13.3,12.4,4.0,4.4,3.7
CH01,12.9,13.3,12.4,5.7,6.3,5.2
CH02,7.7,7.8,7.6,5.7,6.3,5.2
CH02,7.7,7.8,7.6,3.7,3.9,3.4
CH03,8.1,10.9,5.4,3.7,3.9,3.4
CH03,8.1,10.9,5.4,3.9,3.8,3.9
CH04,6.8,7.4,6.3,3.9,3.8,3.9
CH04,6.8,7.4,6.3,3.9,4.6,3.2
CH05,5.2,5.0,5.4,3.9,4.6,3.2
CH05,5.2,5.0,5.4,3.2,3.5,2.9
CH06,4.8,4.7,5.0,3.2,3.5,2.9
CH06,4.8,4.7,5.0,2.7,3.2,2.3
CH07,10.7,11.6,9.9,2.7,3.2,2.3
CH07,10.7,11.6,9.9,5.5,5.5,5.5
HR,31.5,33.7,30.0,5.5,5.5,5.5
HR,31.5,33.7,30.0,9.2,9.9,8.6
HR0,31.5,33.7,30.0,9.2,9.9,8.6
HR0,31.5,33.7,30.0,9.2,9.9,8.6
HR01,21.1,20.7,21.4,9.2,9.9,8.6
HR01,21.1,20.7,21.4,6.4,5.6,7.1
HR02,44.8,47.9,42.7,6.4,5.6,7.1
HR02,44.8,47.9,42.7,13.7,16.2,11.6
HR03,28.6,33.3,25.9,13.7,16.2,11.6
HR03,28.6,33.3,25.9,9.2,10.5,8.0
MK,:,:,:,:,:,:
MK0,:,:,:,:,:,:
MK00,:,:,:,:,:,:
TR,19.7,20.7,19.2,:,:,:
TR,19.7,20.7,19.2,8.8,8.9,8.7
TR1,21.9,24.8,20.1,8.8,8.9,8.7
TR1,21.9,24.8,20.1,11.6,13.3,11.2
TR10,21.9,24.8,20.1,11.6,13.3,11.2
TR10,21.9,24.8,20.1,11.6,13.3,11.2
TR2,15.5,14.8,15.9,11.6,13.3,11.2
TR2,15.5,14.8,15.9,6.0,7.3,5.3
TR21,18.2,17.5,18.5,6.0,7.3,5.3
TR21,18.2,17.5,18.5,6.7,9.4,5.6
TR22,12.2,11.7,12.5,6.7,9.4,5.6
TR22,12.2,11.7,12.5,5.1,5.3,5.1
TR3,22.0,24.6,20.3,5.1,5.3,5.1
TR3,22.0,24.6,20.3,8.8,10.5,8.1
TR31,26.8,31.4,23.9,8.8,10.5,8.1
TR31,26.8,31.4,23.9,11.6,14.6,10.3
TR32,19.9,21.9,18.6,11.6,14.6,10.3
TR32,19.9,21.9,18.6,8.4,10.0,7.7
TR33,16.3,15.8,16.6,8.4,10.0,7.7
TR33,16.3,15.8,16.6,5.1,4.6,5.3
TR4,19.2,22.0,17.6,5.1,4.6,5.3
TR4,19.2,22.0,17.6,8.3,9.3,7.9
TR41,17.5,19.5,16.4,8.3,9.3,7.9
TR41,17.5,19.5,16.4,7.6,8.1,7.4
TR42,20.8,24.2,18.7,7.6,8.1,7.4
TR42,20.8,24.2,18.7,9.0,10.5,8.5
TR5,19.3,25.4,16.4,9.0,10.5,8.5
TR5,19.3,25.4,16.4,7.7,9.1,7.2
TR51,23.2,32.7,18.9,7.7,9.1,7.2
TR51,23.2,32.7,18.9,8.7,10.7,8.0
TR52,13.6,15.1,12.8,8.7,10.7,8.0
TR52,13.6,15.1,12.8,5.6,5.9,5.4
TR6,21.7,21.9,21.5,5.6,5.9,5.4
TR6,21.7,21.9,21.5,10.4,10.8,10.2
TR61,19.9,19.3,20.3,10.4,10.8,10.2
TR61,19.9,19.3,20.3,8.0,9.4,7.3
TR62,24.5,27.8,22.8,8.0,9.4,7.3
TR62,24.5,27.8,22.8,12.6,14.1,12.1
TR63,19.1,15.6,20.7,12.6,14.1,12.1
TR63,19.1,15.6,20.7,10.0,7.8,10.9
TR7,21.2,24.9,19.5,10.0,7.8,10.9
TR7,21.2,24.9,19.5,9.0,10.1,8.6
TR71,17.4,17.0,17.5,9.0,10.1,8.6
TR71,17.4,17.0,17.5,7.4,5.7,8.1
TR72,23.7,29.9,20.9,7.4,5.7,8.1
TR72,23.7,29.9,20.9,10.1,13.7,9.0
TR8,14.9,14.2,15.5,10.1,13.7,9.0
TR8,14.9,14.2,15.5,5.9,5.5,6.1
TR81,27.9,23.5,31.0,5.9,5.5,6.1
TR81,27.9,23.5,31.0,7.4,5.8,8.2
TR82,14.0,18.0,10.3,7.4,5.8,8.2
TR82,14.0,18.0,10.3,6.1,7.4,5.3
