GEO,T-Y15-24,F-Y15-24,M-Y15-24,T-Y-GE25,F-Y-GE25,M-Y-GE25
TRB,24.4,21.4,25.4,10.0,7.4,10.9
TRB1,22.8,21.1,23.6,10.0,7.4,10.9
TRB1,22.8,21.1,23.6,8.2,7.1,8.6
TRB2,25.7,21.9,26.6,8.2,7.1,8.6
TRB2,25.7,21.9,26.6,12.2,7.9,13.3
TRC,15.4,8.0,17.7,12.2,7.9,13.3
TRC,15.4,8.0,17.7,9.7,5.2,10.5
TRC1,16.9,12.6,18.3,9.7,5.2,10.5
TRC1,16.9,12.6,18.3,9.9,7.4,10.5
TRC2,13.6,2.9,16.8,9.9,7.4,10.5
TRC2,13.6,2.9,16.8,10.3,2.3,11.4
TRC3,16.2,9.1,18.4,10.3,2.3,11.4
TRC3,16.2,9.1,18.4,8.4,4.0,9.0
