unit,geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
DED2	10918.3	11128.6	11389.6	11948.3	12371.5	12589.5	12808.8	13138.5	13577.9	13775.5	14327.3	14960.5
DED3	10989.9	11175.6	11372.8	11916.3	12296.7	12481.6	12658.1	12953.3	13405.7	13590.6	14123.5	14716.5
DEE0	10311.9	10514.3	10787.0	11335.5	11652.2	11883.5	11964.3	12137.0	12548.5	12855.8	13428.4	14110.9
DEF0	16118.6	16438.0	16686.8	17127.2	17555.1	17746.8	17727.8	17694.3	17937.2	18508.4	19264.4	19986.8
DEG0	10292.5	10570.3	11060.0	11854.5	12324.6	12617.6	12710.3	12943.8	13304.0	13541.1	14108.2	14760.0
DK01	: 	: 	: 	: 	17167.9	: 	: 	: 	: 	18584.7	19896.2	20562.4
DK02	: 	: 	: 	: 	14730.5	: 	: 	: 	: 	16416.1	17423.6	17955.6
DK03	: 	: 	: 	: 	13929.9	: 	: 	: 	: 	15411.3	16626.5	17252.8
DK04	: 	: 	: 	: 	14287.4	: 	: 	: 	: 	16155.4	17394.6	18105.5
DK05	: 	: 	: 	: 	13558.0	: 	: 	: 	: 	14979.4	16167.0	16914.6
EE00	3130.5 	3656.3 	3849.4 	3823.7 	4375.9 	4599.3 	5123.6 	5671.8 	6191.2 	6966.9 	8060.3 	9249.2 
ES11	7939.6 	8410.8 	8870.9 	9266.9 	10035.1 	10688.9 	11353.7 	11532.5 	11862.8 	12788.8 	13724.6 	14645.9 
ES12	8442.1 	8938.9 	9472.0 	9677.9 	10766.0 	11559.1 	12237.9 	12449.1 	12730.1 	13836.9 	15023.2 	15912.5 
ES13	9270.0 	9701.0 	10472.5 	11094.5 	12131.1 	13054.3 	13961.3 	14082.2 	14344.0 	15517.2 	16509.9 	17264.4 
ES21	11925.1 	12682.7 	13580.5 	14396.4 	15907.4 	16937.1 	17831.1 	18062.0 	18352.4 	19563.3 	20899.2 	21988.4 
ES22	12209.8 	12932.8 	13592.4 	14172.7 	16685.8 	17625.0 	18514.1 	18625.4 	18944.9 	20105.6 	21258.3 	22326.4 
ES23	11055.5 	11821.1 	12464.6 	13140.2 	14643.9 	15445.5 	16010.0 	16180.3 	16133.5 	16900.4 	17964.2 	18321.8 
ES24	10792.1 	11363.4 	11806.4 	12302.0 	13874.4 	14667.3 	15705.6 	15829.1 	15972.1 	17003.0 	18201.8 	19017.4 
ES30	12802.3 	13487.6 	14494.4 	15345.5 	17588.8 	18546.7 	19137.0 	19026.6 	19316.2 	20492.6 	21751.9 	22462.8 
ES41	9261.2 	9750.9 	10178.0 	10628.4 	11618.0 	12430.6 	13203.6 	13391.5 	13690.5 	14673.9 	15706.3 	16641.3 
ES42	8029.1 	8429.7 	8981.1 	9270.3 	10095.7 	10846.4 	11575.3 	11698.0 	11831.1 	12547.1 	13263.6 	13954.3 
ES43	6408.0 	6778.1 	7262.0 	7737.7 	8363.3 	9015.1 	9589.5 	9802.8 	10008.1 	10853.7 	11642.0 	12363.1 
ES51	11878.9 	12375.2 	13028.4 	13749.4 	15585.2 	16359.6 	17112.5 	17229.5 	17377.8 	18366.4 	19315.3 	20016.0 
ES52	9337.6 	9940.4 	10598.1 	11154.6 	12491.3 	13159.3 	13741.7 	13678.3 	13732.5 	14420.7 	15170.9 	15656.7 
ES53	11683.4 	12564.4 	13143.5 	13658.2 	15757.6 	16469.8 	16902.6 	16432.8 	16676.1 	17521.7 	18354.1 	18808.0 
ES61	7265.8 	7670.2 	8069.5 	8490.4 	9367.4 	10020.8 	10625.7 	10889.7 	11145.2 	11920.2 	12605.7 	13148.7 
ES62	7704.1 	8337.1 	8865.3 	9247.3 	10449.6 	11122.7 	11799.9 	11856.3 	11941.3 	12774.9 	13365.1 	13971.2 
ES63	: 	: 	: 	: 	11647.2 	12174.1 	12876.3 	13456.6 	13861.3 	15055.1 	15911.3 	16435.4 
ES64	: 	: 	: 	: 	11782.3 	12313.0 	12863.5 	13119.0 	13808.9 	14864.1 	15886.2 	16346.7 
ES70	9278.2 	9764.1 	10410.0 	11191.4 	12149.0 	12730.0 	13324.9 	13361.2 	13315.0 	13966.1 	14572.7 	15120.0 
FI13	7762.3 	8298.3 	8701.7 	9097.1 	9745.7 	9997.1 	10422.5 	10593.5 	11378.5 	11715.9 	12388.1 	13684.2 
FI18	10368.8 	11148.0 	11966.3 	12937.9 	14071.9 	14464.6 	14916.7 	14974.6 	15904.1 	16426.6 	17116.0 	18496.7 
FI19	8712.1 	9375.7 	10005.7 	10436.2 	11239.4 	11569.4 	12043.2 	12103.4 	12963.6 	13306.3 	14071.8 	15420.5 
FI1A	8082.8 	8647.5 	9131.1 	9713.6 	10450.2 	10728.7 	11143.6 	11314.5 	12099.5 	12522.7 	13267.3 	14364.2 
FI20	11549.5 	12591.7 	13313.9 	14445.7 	15732.0 	15954.9 	16782.6 	16929.9 	18021.8 	17691.6 	17390.8 	18938.9 
