Gemeinde;Wahlberechtigte;A1;A2;A3;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;FDP;Volksabstimmung;AUF;BIG;BüSo;DKP;DIE LINKE;REP;DIE VIOLETTEN;FAMILIE;NPD;ödp;PBC;Die PARTEI;PIRATEN;RSB;Einzelbewerber;
08118063 Pleidelsheim;4189;3571;618;0;2991;583;33;2958;1032;780;730;181;;;;;;62;81;;;15;20;;;57;;;
08118067 Schwieberdingen;7935;6800;1135;0;5813;1099;53;5760;2176;1384;1362;387;;30;;;;145;60;;;31;53;;;132;;;
08118068 Sersheim;3697;3337;360;0;2704;337;40;2664;995;688;637;124;;23;;;;57;31;;;30;18;;;61;;;
08118070 Steinheim an der Murr, Stadt;8673;7775;898;0;6405;837;68;6337;2594;1538;1468;261;;;;;;142;119;;;37;56;;;122;;;
08118071 Tamm;9142;8191;951;0;6741;916;87;6654;2511;1656;1659;317;;;10;;;146;83;;;66;52;29;;125;;;
08118073 Vaihingen an der Enz, Stadt;19803;17348;2455;0;14830;2355;171;14659;6004;2822;3722;867;;116;;;;424;157;;;128;80;;;339;;;
08118074 Walheim;2310;1982;328;0;1645;312;20;1625;589;398;390;91;;;;;;37;42;;;11;20;;;47;;;
08118076 Sachsenheim, Stadt;12337;11147;1190;0;8622;1146;124;8498;3291;1953;2127;395;;80;;;;175;110;;;87;49;;;231;;;
08118077 Ingersheim;4407;3923;484;0;3246;465;38;3208;1134;819;806;214;;;;;;66;52;;;24;29;;;64;;;
08118078 Freiberg am Neckar, Stadt;11492;9992;1500;0;8623;1439;80;8543;3260;2106;2103;466;;;;;;191;146;;;59;62;;;150;;;
08118079 Bietigheim-Bissingen, Stadt;29024;25980;3044;0;20008;2868;257;19751;6946;5123;5325;1036;;;;;;437;247;;;121;126;;;390;;;
08118080 Korntal-Münchingen, Stadt;12747;10560;2187;0;9947;2090;81;9866;3747;2028;2667;749;;96;;;;182;70;;;58;89;;;180;;;
08118081 Remseck am Neckar, Stadt;16189;14125;2064;0;11924;1977;134;11790;4416;2712;2985;847;;;30;;;289;130;;;74;50;28;;229;;;
08119001 Alfdorf;5386;4978;408;0;3654;383;46;3608;1592;770;728;175;;30;9;;;94;46;;;62;24;;;73;;5;
08119003 Allmersbach im Tal;3555;3167;388;0;2527;365;15;2512;1060;662;480;142;;18;2;;;54;26;;;15;18;;;34;;1;
08119004 Althütte;3146;2799;347;0;2249;336;25;2224;926;459;456;137;;37;9;;;78;27;;;33;11;;;36;;15;
08119006 Auenwald;5359;4870;489;0;3776;468;55;3721;1603;795;663;307;;30;8;;;107;60;;;68;29;;;48;;3;
08119008 Backnang, Stadt;23715;21238;2477;0;15662;2363;174;15488;5944;4257;3219;764;;167;34;;;446;151;;;140;128;;;214;;24;
08119018 Burgstetten;2530;2237;293;0;1839;284;22;1817;703;413;413;98;;37;5;;;49;25;;;26;23;;;21;;4;
08119020 Fellbach, Stadt;29115;24902;4213;0;21406;4035;232;21174;7666;4872;5201;1859;;123;54;;;558;206;87;;131;112;;;305;;;
08119024 Großerlach;1956;1775;181;0;1195;170;16;1179;426;246;249;65;;9;0;;;72;15;;;50;20;;;27;;0;
08119037 Kaisersbach;1959;1804;155;0;1337;146;17;1320;584;246;279;77;;20;4;;;29;15;;;21;7;;;33;;5;
08119038 Kirchberg an der Murr;2625;2351;274;0;1917;256;24;1893;855;392;348;99;;39;7;;;47;28;;;12;23;;;38;;5;
08119041 Korb;7376;6458;918;0;5493;878;55;5438;2251;1205;1203;410;;37;7;;;94;34;32;;38;31;;;96;;;
08119042 Leutenbach;8127;7301;826;0;5870;794;71;5799;2152;1489;1365;344;;39;3;;;129;63;26;;48;26;;;115;;;
08119044 Murrhardt, Stadt;9997;8901;1096;0;6180;1019;101;6079;2293;1538;1157;262;;29;7;;;458;76;;;115;41;;;91;;12;
08119053 Oppenweiler;3070;2729;341;0;2199;327;12;2187;1014;487;450;82;;10;8;;;34;21;;;24;19;;;37;;1;
08119055 Plüderhausen;6707;5938;769;0;4623;739;49;4574;1834;1088;887;363;;36;;;;119;64;12;;29;69;;;73;;;
08119061 Rudersberg;8462;7684;778;0;5985;740;59;5926;2476;1224;1165;458;;53;;;;137;128;24;;108;45;;;108;;;
