Gemeinde;Wahlberechtigte;A1;A2;A3;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;FDP;Volksabstimmung;AUF;BIG;BüSo;DKP;DIE LINKE;REP;DIE VIOLETTEN;FAMILIE;NPD;ödp;PBC;Die PARTEI;PIRATEN;RSB;Einzelbewerber;
08226031 Hemsbach, Stadt;9155;8216;939;0;5744;897;109;5635;1926;1528;1353;239;;;;;;203;61;;;106;27;;;192;;;
08226032 Hockenheim, Stadt;15214;13649;1565;0;9028;1487;208;8820;2841;2453;2140;606;;;;;;283;101;;;78;78;;;240;;;
08226036 Ilvesheim;6447;5425;1022;0;4473;975;80;4393;1466;1356;1067;177;;;;;;138;36;;;41;30;;;82;;;
08226037 Ketsch;9901;8892;1009;0;6416;972;141;6275;2275;1747;1341;283;;;;;;239;68;;;70;65;;;187;;;
08226038 Ladenburg, Stadt;8551;7551;1000;0;6186;955;80;6106;2063;1700;1640;322;;;;;;144;31;;;38;27;;;141;;;
08226040 Laudenbach;4650;4095;555;0;3325;536;76;3249;1238;895;714;125;;;;;;73;29;;;43;23;;;109;;;
08226041 Leimen, Stadt;18984;16799;2185;0;10734;2059;154;10580;3572;2709;2327;947;;;26;;;409;109;;;94;55;;;251;;81;
08226046 Malsch;2699;2383;316;0;1924;302;24;1900;912;295;446;65;;;2;;;48;25;;;36;20;;;43;;8;
08226048 Mauer;2972;2646;326;0;2204;320;37;2167;889;537;491;64;;;;;;61;25;;;20;20;;;60;;;
08226049 Meckesheim;3931;3316;615;0;2666;578;52;2614;1058;642;545;99;;;;;;103;48;;;39;29;;;51;;;
08226054 Mühlhausen;6138;5444;694;0;4425;650;68;4357;2516;552;851;119;;;9;;;80;38;;;56;38;;;81;;17;
08226055 Neckarbischofsheim, Stadt;2855;2627;228;0;1799;219;48;1751;685;491;348;59;;;;;;64;15;;;33;18;;;38;;;
08226056 Neckargemünd, Stadt;10204;8896;1308;0;7165;1171;76;7089;2302;1659;2305;333;;;;;;221;48;;;56;42;;;123;;;
08226058 Neidenstein;1385;1255;130;0;995;125;23;972;361;274;198;37;;;;;;25;16;;;25;17;;;19;;;
08226059 Neulußheim;4713;4186;527;0;3054;502;74;2980;1079;804;611;145;;;;;;135;51;;;32;37;;;86;;;
08226060 Nußloch;8184;7219;965;0;5398;927;88;5310;1845;1308;1371;315;;;11;;;170;69;;;49;35;;;117;;20;
08226062 Oftersheim;8478;7656;822;0;5482;799;89;5393;1794;1551;1303;281;;;;;;158;54;;;45;42;;;165;;;
08226063 Plankstadt;7336;6553;783;0;4912;749;105;4807;1698;1412;1081;239;;;;;;150;42;;;55;48;;;82;;;
08226065 Rauenberg, Stadt;6060;5410;650;0;4050;623;49;4001;1863;630;966;147;;;9;;;107;40;;;102;37;;;88;;12;
08226066 Reichartshausen;1557;1437;120;0;979;116;19;960;396;269;162;47;;;;;;30;13;;;15;9;;;19;;;
08226068 Reilingen;5409;4890;519;0;3572;500;51;3521;1316;911;688;263;;;;;;117;47;;;44;30;;;105;;;
08226076 Sandhausen;11018;9842;1176;0;7100;1120;115;6985;2343;1942;1624;433;;;21;;;254;68;;;62;49;;;168;;21;
08226080 Schönau, Stadt;3471;2978;493;0;1824;0;23;1801;654;538;413;54;;;;;;68;16;;;25;14;;;19;;;
08226081 Schönbrunn;2349;2201;148;0;1613;141;39;1574;595;427;335;65;;;;;;63;15;;;25;13;;;36;;;
08226082 Schriesheim, Stadt;11218;9504;1714;0;8107;1616;85;8022;2901;1768;2335;514;;;;;;179;40;;;44;77;;;164;;;
08226084 Schwetzingen, Stadt;15646;14016;1630;0;9652;1534;135;9517;3315;2439;2575;395;;;;;;317;82;;;75;72;;;247;;;
08226085 Sinsheim, Stadt;25325;22857;2468;0;15509;2349;226;15283;6212;3563;3126;665;;;;;;568;210;;;322;207;;;410;;;
08226086 Spechbach;1341;1208;133;0;919;130;23;896;306;247;195;55;;;;;;42;10;;;17;5;;;19;;;
08226091 Waibstadt, Stadt;4142;3716;426;0;2656;404;56;2600;1250;526;494;98;;;;;;72;32;;;40;22;;;66;;;
08226095 Walldorf, Stadt;10194;9206;988;0;6688;954;67;6621;2369;1513;1839;375;;;34;;;197;48;;;51;35;;;130;;30;
08226096 Weinheim, Stadt;31149;27567;3582;0;19950;3301;283;19667;6971;4920;5079;1104;;;;;;700;113;;;261;98;;;421;;;
08226097 Wiesenbach;2340;1999;341;0;1850;321;35;1815;701;419;492;87;;;;;;55;14;;;14;9;;;24;;;
08226098 Wiesloch, Stadt;18158;16248;1909;1;11575;1807;154;11421;4041;2369;3644;474;;;73;;;327;90;;;88;63;;;224;;28;
08226099 Wilhelmsfeld;2494;2120;374;0;1659;354;16;1643;552;393;476;82;;;;;;54;12;;;15;21;;;38;;;
08226101 Zuzenhausen;1675;1547;128;0;1148;122;22;1126;484;276;232;37;;;;;;28;17;;;14;12;;;26;;;
08226102 Angelbachtal;3658;3260;398;0;2401;352;22;2379;956;519;530;94;;;;;;94;31;;;64;30;;;61;;;
08226103 St. Leon-Rot;9376;8522;854;0;6243;803;115;6128;2915;1049;1328;293;;;21;;;128;63;;;73;68;;;175;;15;
08226104 Lobbach;1844;1665;179;0;1272;177;29;1243;530;330;221;39;;;;;;55;19;;;22;8;;;19;;;
08226105 Edingen-Neckarhausen;10344;8665;1679;0;7307;1593;110;7197;2398;1881;1821;459;;;;;;240;70;;;59;66;;;203;;;
08226106 Helmstadt-Bargen;2937;2732;205;0;1816;192;35;1781;737;470;303;66;;;;;;77;20;;;46;29;;;33;;;
08226107 Hirschberg an der Bergstraße;7251;6164;1087;0;5352;1041;71;5281;1998;1141;1415;441;;;;;;104;21;;;41;27;;;93;;;
08226991 Briefwahl für mehrere Gemeinden;;;;;484;484;8;476;188;162;70;20;;;;;;22;4;;;4;4;;;2;;;
08231000 Pforzheim, Stadt;77956;69301;8654;1;44053;8172;642;43411;19456;9738;8138;2032;;;;;;1642;515;;;613;344;;;933;;;
08235006 Altensteig, Stadt;7453;6776;677;0;4796;645;73;4723;2165;1117;677;314;;97;;;;102;60;;;74;29;;;88;;;
08235007 Althengstett;5624;5000;624;0;4110;592;55;4055;1640;853;864;377;;47;;;;78;43;;;37;28;;;88;;;
08235008 Bad Liebenzell, Stadt;6414;5556;858;0;4580;813;60;4520;1891;781;1114;276;;88;;;;129;55;;;53;39;;;94;;;
08235018 Dobel;1695;1441;254;0;1097;245;26;1071;418;235;206;91;;17;;;;31;17;;;12;5;;;39;;;
08235020 Ebhausen;3239;2961;278;0;2237;268;42;2195;1061;526;266;103;;52;;;;42;40;;;54;15;;;36;;;
08235022 Egenhausen;1479;1326;153;0;1081;148;26;1055;552;212;120;52;;21;;;;27;16;;;29;7;;;19;;;
08235025 Enzklösterle;933;838;95;0;684;87;10;674;353;150;78;40;;11;;;;18;8;;;8;0;;;8;;;
08235029 Gechingen;2655;2313;342;0;1982;334;31;1951;895;384;443;112;;13;;;;24;17;;;13;12;;;38;;;
08235032 Haiterbach, Stadt;3876;3632;244;0;2539;226;44;2495;1338;504;267;146;;47;;;;34;51;;;55;20;;;33;;;
08235033 Bad Herrenalb, Stadt;5616;4759;857;0;3653;815;58;3595;1498;766;757;213;;39;;;;141;42;;;45;21;;;73;;;
08235035 Höfen an der Enz;1274;1118;156;0;776;143;25;751;305;176;136;65;;4;;;;21;7;;;15;4;;;18;;;
08235046 Nagold, Stadt;15236;13694;1541;1;9326;1457;128;9198;3918;2680;1273;543;;94;;;;237;105;;;120;56;;;172;;;
08235047 Neubulach, Stadt;4089;3741;348;0;2893;327;51;2842;1483;503;433;156;;102;;;;37;26;;;36;18;;;48;;;
08235050 Neuweiler;2425;2251;174;0;1800;162;26;1774;977;255;269;105;;27;;;;29;31;;;36;20;;;25;;;
08235055 Oberreichenbach;2183;1977;206;0;1543;196;23;1520;685;296;278;85;;37;;;;36;31;;;23;14;;;35;;;
08235057 Ostelsheim;1752;1582;170;0;1289;165;18;1271;546;247;296;87;;17;;;;17;14;;;12;11;;;24;;;
08235060 Rohrdorf;1360;1245;115;0;905;111;11;894;436;215;99;70;;21;;;;19;8;;;7;11;;;8;;;
08235065 Schömberg;5605;4906;699;0;3544;658;62;3482;1525;723;733;165;;72;;;;87;37;;;37;23;;;80;;;
08235066 Simmersfeld;1530;1430;100;0;1108;95;21;1087;570;172;124;81;;35;;;;24;11;;;28;8;;;34;;;
08235067 Simmozheim;2093;1884;209;0;1475;201;21;1454;500;316;393;113;;22;;;;27;13;;;19;12;;;39;;;
08235073 Unterreichenbach;1672;1450;222;0;1153;214;14;1139;413;247;301;56;;14;;;;30;12;;;30;9;;;27;;;
08235079 Bad Wildbad, Stadt;7679;6878;801;0;4672;768;70;4602;2109;997;742;341;;68;;;;119;60;;;49;27;;;90;;;
08235080 Wildberg, Stadt;7332;6431;901;0;5186;869;91;5095;2246;1142;889;330;;101;;;;86;55;;;79;42;;;125;;;
08235084 Bad Teinach-Zavelstein, Stadt;2281;2038;243;0;1644;223;23;1621;766;321;274;128;;33;;;;21;18;;;22;13;;;25;;;
08235085 Calw, Stadt;14966;13361;1605;0;9912;1506;171;9741;3759;2373;2086;682;;104;;;;286;82;;;110;58;;;201;;;
08236004 Birkenfeld;7648;6654;994;0;5355;942;75;5280;2351;1257;1020;233;;;;;;133;50;;;83;64;;;89;;;
08236011 Eisingen;3421;3003;418;0;2250;406;37;2213;962;470;405;158;;;;;;69;33;;;28;16;25;;47;;;
08236013 Engelsbrand;3356;2855;501;0;2435;480;38;2397;1084;492;530;127;;;;;;42;35;;;27;21;;;39;;;
08236019 Friolzheim;2599;2239;360;0;1891;349;19;1872;761;417;397;141;;;;;;52;22;;;17;8;10;;47;;;
08236025 Heimsheim, Stadt;3444;2947;497;0;2515;477;37;2478;937;566;568;199;;;;;;48;25;;;33;25;18;;59;;;
08236028 Illingen;5272;4560;712;0;3910;646;65;3845;1584;969;722;225;;;;;;61;63;;;84;26;23;;88;;;
08236030 Ispringen;4542;3956;586;0;3143;567;56;3087;1229;857;567;160;;;;;;86;35;;;55;27;;;71;;;
08236031 Kieselbronn;2311;2019;292;0;1650;283;32;1618;700;385;331;78;;;;;;26;17;;;15;24;;;42;;;
08236033 Knittlingen, Stadt;5358;4749;609;0;3586;590;47;3539;1255;969;694;224;;;;;;114;70;;;71;32;31;;79;;;
08236038 Maulbronn, Stadt;4372;3842;530;0;3177;503;50;3127;1122;830;698;208;;;;;;69;41;;;39;27;31;;62;;;
08236039 Mönsheim;1910;1573;337;0;1490;325;12;1478;606;318;299;167;;;;;;14;15;;;5;16;18;;20;;;
08236040 Mühlacker, Stadt;16892;15145;1747;0;11542;1662;166;11376;4656;3025;1967;736;;;;;;336;120;;;183;100;66;;187;;;
08236043 Neuenbürg, Stadt;5627;4917;710;0;3857;674;79;3778;1364;887;831;273;;;;;;136;44;;;63;24;48;;108;;;
08236044 Neuhausen;4011;3668;343;0;2928;329;47;2881;1295;593;570;173;;;;;;67;36;;;37;29;12;;69;;;
08236046 Niefern-Öschelbronn;8443;7161;1282;0;5539;1131;72;5467;2252;1231;1077;455;;;;;;147;70;;;45;46;30;;114;;;
08236050 Ötisheim;3535;3114;421;0;2504;406;28;2476;1049;619;385;152;;;;;;65;44;;;53;23;23;;63;;;
08236061 Sternenfels;2076;1870;206;0;1516;199;24;1492;476;454;330;85;;;;;;53;18;;;25;9;8;;34;;;
08236062 Tiefenbronn;3874;3418;456;0;2962;440;22;2940;1283;622;604;213;;;;;;67;26;;;20;27;10;;68;;;
08236065 Wiernsheim;4747;4198;549;0;3424;526;50;3374;1323;789;721;287;;;;;;63;23;;;44;19;24;;81;;;
08236067 Wimsheim;1974;1705;269;0;1521;256;21;1500;584;332;294;175;;;;;;21;16;;;16;12;7;;43;;;
08236068 Wurmberg;2176;1944;232;0;1562;210;27;1535;761;299;252;90;;;;;;27;17;;;20;10;19;;40;;;
08236070 Keltern;7103;6273;830;0;5075;791;77;4998;2012;1113;1062;359;;;;;;97;60;;;49;27;99;;120;;;
08236071 Remchingen;8793;7761;1032;0;6113;990;90;6023;2582;1360;1065;385;;;;;;148;76;;;59;54;166;;128;;;
08236072 Straubenhardt;8170;7252;918;0;5633;859;76;5557;2228;1320;1239;341;;;;;;108;47;;;59;48;39;;128;;;
08236073 Neulingen;4981;4512;469;0;3436;441;44;3392;1357;756;691;241;;;;;;87;50;;;50;35;46;;79;;;
08236074 Kämpfelbach;4844;4218;626;0;3492;598;66;3426;1554;748;644;194;;;;;;83;41;;;38;32;17;;75;;;
08236075 Ölbronn-Dürrn;2621;2316;305;0;1827;294;31;1796;765;404;341;131;;;;;;53;19;;;26;17;19;;21;;;
08236076 Königsbach-Stein;7573;6660;913;0;5163;882;73;5090;2106;1296;958;326;;;;;;96;37;;;59;46;54;;112;;;
08237002 Alpirsbach, Stadt;4975;4476;499;0;3320;473;62;3258;1235;838;597;195;;;;;;114;60;;;44;49;35;;91;;;
08237004 Baiersbronn;11337;10223;1114;0;7272;1071;79;7193;3720;1480;1052;431;;;;;;128;82;;;70;57;64;;109;;;
08237019 Dornstetten, Stadt;5859;5364;495;0;3487;466;54;3433;1519;723;652;236;;;;;;74;43;;;42;30;35;;79;;;
08237024 Empfingen;2973;2743;230;0;1816;212;41;1775;774;381;283;152;;;;;;53;30;;;38;15;6;;43;;;
08237027 Eutingen im Gäu;3961;3639;322;0;2818;310;38;2780;1243;588;484;199;;;;;;57;47;;;57;16;31;;58;;;
08237028 Freudenstadt, Stadt;16502;14465;2037;0;10113;1912;126;9987;4334;2274;1820;718;;;;;;266;114;;;104;92;103;;162;;;
08237030 Glatten;1872;1735;137;0;1184;129;23;1161;612;206;132;77;;;;;;30;34;;;21;9;19;;21;;;
08237032 Grömbach;502;467;35;0;316;0;7;309;159;57;31;19;;;;;;11;8;;;6;2;9;;7;;;
08237040 Horb am Neckar, Stadt;18223;16676;1547;0;12025;1414;200;11825;5027;2305;2081;1171;;;;;;309;228;;;218;78;77;;331;;;
08237045 Loßburg;5891;5350;541;0;4017;519;53;3964;1802;820;586;292;;;;;;72;68;;;73;80;80;;91;;;
08237054 Pfalzgrafenweiler;4910;4521;389;0;3153;408;38;3115;1549;564;460;220;;;;;;61;61;;;42;25;72;;61;;;
08237061 Schopfloch;1936;1787;149;0;1277;143;21;1256;687;183;164;73;;;;;;24;39;;;27;10;30;;19;;;
08237072 Wörnersberg;170;162;8;0;108;0;2;106;72;14;7;8;;;;;;1;0;;;0;0;4;;0;;;
08237073 Seewald;1756;1597;159;0;1176;133;18;1158;630;182;132;96;;;;;;22;19;;;25;5;28;;19;;;
08237074 Waldachtal;4481;4176;305;0;2792;294;30;2762;1394;421;404;230;;;;;;58;78;;;61;19;38;;59;;;
08237075 Bad Rippoldsau-Schapbach;1760;1618;142;0;1223;138;29;1194;547;274;248;57;;;;;;21;5;;;8;9;8;;17;;;
08311000 Freiburg im Breisgau, Stadt;148070;123556;24512;2;99254;22963;837;98417;21160;23081;42366;3520;;;;;;4524;630;164;;59;528;282;;2103;;;
08315003 Au;1055;843;212;0;815;194;5;810;255;127;318;56;;5;;;;19;8;;;3;;1;;18;;;
08315004 Auggen;1807;1510;297;0;1200;284;8;1192;375;282;340;111;;7;;;;35;13;;;5;;5;;19;;;
08315006 Bad Krozingen, Stadt;12976;11382;1594;0;8160;1437;112;8048;2744;1949;2185;625;;51;;;;186;125;;;26;;39;;118;;;
08315007 Badenweiler;2963;2491;472;0;2019;450;28;1991;667;402;646;138;;12;;;;54;24;;;10;;4;;34;;;
08315008 Ballrechten-Dottingen;1761;1530;231;0;1299;221;16;1283;471;288;405;50;;7;;;;29;6;;;4;;3;;20;;;
08315013 Bötzingen;3761;3348;413;0;2531;394;54;2477;937;672;526;101;;43;;;;56;28;;;22;;46;;46;;;
08315014 Bollschweil;1729;1496;233;0;1308;229;14;1294;423;244;511;53;;5;;;;21;11;;;2;;1;;23;;;
08315015 Breisach am Rhein, Stadt;10281;9066;1215;0;6645;1135;112;6533;2127;1693;1923;297;;62;;;;163;75;;;36;;30;;127;;;
08315016 Breitnau;1287;1151;136;0;905;132;21;884;376;142;245;50;;;;;;25;4;;;6;14;4;;18;;;
08315020 Buchenbach;2411;2112;299;0;1801;282;18;1783;644;389;607;47;;;;;;30;12;;;6;23;3;;22;;;
08315022 Buggingen;2946;2656;290;0;1840;277;30;1810;524;516;504;137;;15;;;;49;20;;;5;;10;;30;;;
08315028 Ebringen;2152;1865;287;0;1634;276;11;1623;552;354;546;78;;13;;;;32;8;;;5;;5;;30;;;
08315030 Eichstetten am Kaiserstuhl;2437;2147;290;0;1771;274;28;1743;621;385;421;148;;24;;;;30;27;;;19;;29;;39;;;
08315031 Eisenbach (Hochschwarzwald);1574;1449;125;0;1003;117;10;993;420;258;198;66;;;;;;19;6;;;8;9;1;;8;;;
08315033 Eschbach;1701;1520;181;0;1125;171;13;1112;343;279;339;59;;14;;;;27;8;;;5;;5;;33;;;
08315037 Feldberg (Schwarzwald);1314;1072;242;0;908;226;6;902;390;150;212;86;;;;;;34;8;;;4;10;2;;6;;;
08315039 Friedenweiler;1533;1363;170;0;1043;158;21;1022;423;264;205;57;;;;;;12;13;;;9;7;10;;22;;;
08315041 Glottertal;2356;2144;212;0;1615;205;26;1589;725;260;443;67;;;;;;30;7;;;8;21;7;;21;;;
08315043 Gottenheim;2027;1769;258;0;1406;233;23;1383;458;359;426;59;;;;;;28;14;1;;;13;2;;23;;;
08315047 Gundelfingen;8834;7530;1304;0;6430;1244;63;6367;1795;1598;2317;271;;;;;;172;32;;;26;43;31;;82;;;
08315048 Hartheim;3433;3098;335;0;2161;314;19;2142;815;487;505;145;;19;;;;56;26;;;22;;10;;57;;;
08315050 Heitersheim, Stadt;4264;3618;646;0;2966;618;31;2935;994;751;901;143;;15;;;;49;21;;;9;;11;;41;;;
08315051 Heuweiler;831;715;116;0;617;113;6;611;226;140;170;31;;;;;;14;5;;;1;12;2;;10;;;
08315052 Hinterzarten;1800;1454;346;0;1300;333;16;1284;549;237;329;105;;;;;;21;4;;;6;7;1;;25;;;
08315056 Horben;773;638;135;0;575;131;6;569;206;115;194;24;;3;;;;19;1;;;2;;1;;4;;;
08315059 Ihringen;4603;3929;674;0;3357;643;59;3298;1069;940;892;164;;32;;;;63;31;;;14;;22;;71;;;
08315064 Kirchzarten;7365;6151;1214;0;5612;1157;43;5569;1754;1318;1995;238;;;;;;101;20;;;20;47;23;;53;;;
08315068 Lenzkirch;3766;3221;545;0;2329;526;42;2287;911;507;561;140;;;;;;69;14;;;10;31;13;;31;;;
08315070 Löffingen, Stadt;5767;5235;532;0;3677;503;45;3632;1462;882;776;280;;;;;;84;25;;;26;28;10;;59;;;
08315072 Merdingen;1999;1781;218;0;1446;209;27;1419;576;304;384;72;;12;;;;30;6;;;9;;4;;22;;;
08315073 Merzhausen;3813;3046;767;0;2979;731;27;2952;808;634;1211;138;;7;;;;74;16;;;14;;5;;45;;;
08315074 Müllheim, Stadt;13262;11749;1513;0;8548;1415;101;8447;2527;1966;2882;436;;67;;;;264;71;;;27;;43;;164;;;
08315076 Neuenburg am Rhein, Stadt;8553;7487;1066;0;5105;1017;111;4994;1695;1326;1327;262;;29;;;;130;71;;;25;;25;;104;;;
08315084 Oberried;2121;1871;250;0;1623;239;24;1599;684;329;451;59;;;;;;19;8;;;6;21;2;;20;;;
08315089 Pfaffenweiler;1988;1750;238;0;1499;229;17;1482;573;315;436;58;;7;;;;46;9;;;3;;2;;33;;;
08315094 St. Märgen;1388;1253;135;0;919;123;26;893;432;144;210;39;;;;;;18;9;;;15;13;2;;11;;;
08315095 St. Peter;1945;1668;277;0;1391;266;20;1371;573;227;427;59;;;;;;26;4;;;12;18;6;;19;;;
08315098 Schallstadt;4564;4074;490;0;3210;462;42;3168;891;737;1159;159;;;;;;83;30;7;;;22;35;;45;;;
08315102 Schluchsee;1861;1618;243;0;1238;234;21;1217;555;270;233;73;;;;;;27;11;;;8;12;3;;25;;;
08315107 Sölden;932;761;171;0;776;162;9;767;256;129;315;32;;0;;;;13;7;;;1;;1;;13;;;
08315108 Staufen im Breisgau, Stadt;5724;4623;1101;0;4332;1026;80;4252;1322;1041;1483;198;;17;;;;97;22;;;4;;9;;59;;;
08315109 Stegen;3291;2820;471;0;2436;450;25;2411;840;550;749;123;;;;;;45;12;;;13;23;13;;43;;;
08315111 Sulzburg, Stadt;2017;1740;277;0;1474;254;14;1460;388;354;571;82;;4;;;;20;13;;;8;;2;;18;;;
08315113 Titisee-Neustadt, Stadt;8762;7707;1055;0;5385;1001;77;5308;2039;1327;1304;294;;;;;;129;36;;;42;52;18;;67;;;
08315115 Umkirch;3916;3452;464;0;2355;443;37;2318;762;620;644;101;;;;;;72;37;6;;;14;11;;51;;;
08315125 Wittnau;1116;929;187;0;884;182;4;880;284;163;332;55;;4;;;;20;7;;;3;;1;;11;;;
08315130 Münstertal/Schwarzwald;3896;3412;484;0;2961;459;43;2918;1080;796;738;138;;30;;;;51;27;;;4;;13;;41;;;
08315131 Ehrenkirchen;5555;4835;720;0;3951;674;53;3898;1297;842;1292;196;;28;;;;76;60;;;14;;17;;76;;;
08315132 March;6763;6040;723;0;4610;679;41;4569;1247;1203;1575;155;;;;;;145;87;15;;;40;11;;91;;;
08315133 Vogtsburg im Kaiserstuhl, Stadt;4553;4054;498;1;3230;470;50;3180;1502;641;669;158;;31;;;;56;22;;;22;;8;;71;;;
08316002 Bahlingen am Kaiserstuhl;3079;2734;345;0;2087;328;15;2072;619;582;605;86;;;;;;30;22;;;16;40;28;;44;;;
08316003 Biederbach;1365;1304;61;0;754;0;21;733;416;102;159;24;;;;;;4;5;;;4;5;2;;12;;;
08316009 Denzlingen;10222;9062;1160;0;7091;1097;71;7020;1883;1892;2378;268;;;;;;163;40;;;42;177;27;;150;;;
08316010 Elzach, Stadt;5598;5170;428;0;3694;472;50;3644;1760;721;831;113;;;;;;63;27;;;26;40;10;;53;;;
08316011 Emmendingen, Stadt;19587;17362;2225;0;12577;2094;160;12417;3210;3286;4367;521;;;;;;343;112;;;84;151;47;;296;;;
08316012 Endingen am Kaiserstuhl, Stadt;7064;6450;614;0;4894;622;84;4810;1879;1012;1285;263;;;;;;83;53;;;45;71;17;;102;;;
08316013 Forchheim;1023;972;51;0;617;0;24;593;221;125;156;33;;;;;;11;11;;;10;10;2;;14;;;
08316014 Gutach im Breisgau;3224;2958;266;0;2187;250;29;2158;847;470;626;76;;;;;;40;16;;;8;21;8;;46;;;
08316017 Herbolzheim, Stadt;7622;6906;716;0;4819;682;84;4735;1618;1205;1279;177;;;;;;121;69;;;59;74;39;;94;;;
08316020 Kenzingen, Stadt;7065;6249;816;0;4540;766;74;4466;1421;1060;1463;185;;;;;;104;58;;;43;45;8;;79;;;
08316024 Malterdingen;2288;2089;199;0;1466;192;15;1451;429;381;414;70;;;;;;41;29;;;14;23;36;;14;;;
08316036 Reute;2396;2124;272;0;1654;257;19;1635;555;395;519;64;;;;;;29;12;;;7;27;4;;23;;;
08316037 Riegel am Kaiserstuhl;2753;2483;270;0;1811;264;25;1786;567;474;525;70;;;;;;42;19;;;19;22;3;;45;;;
08316038 Sasbach am Kaiserstuhl;2586;2419;167;0;1736;156;42;1694;499;409;529;94;;;;;;35;18;;;18;37;10;;45;;;
08316039 Sexau;2541;2238;303;0;1828;288;36;1792;498;536;519;72;;;;;;35;24;;;28;31;5;;44;;;
08316042 Simonswald;2384;2225;159;0;1546;152;29;1517;715;240;390;46;;;;;;26;19;;;16;27;5;;33;;;
08316043 Teningen;8988;8138;850;0;6072;813;82;5990;1665;1809;1728;259;;;;;;161;72;;;58;96;22;;120;;;
08316045 Vörstetten;2266;1901;365;0;1706;356;17;1689;413;467;582;83;;;;;;42;20;;;5;35;7;;35;;;
08316049 Weisweil;1654;1476;178;0;1171;165;18;1153;213;400;372;90;;;;;;16;16;;;9;8;8;;21;;;
08316051 Wyhl am Kaiserstuhl;2803;2648;155;0;1741;148;38;1703;637;397;412;61;;;;;;45;20;;;50;20;12;;49;;;
08316053 Rheinhausen;2695;2398;297;0;1832;282;34;1798;875;369;367;43;;;;;;44;25;;;11;34;1;;29;;;
08316054 Freiamt;3352;3008;344;0;2287;324;50;2237;756;482;538;277;;;;;;49;37;;;19;34;6;;39;;;
08316055 Winden im Elztal;2211;2022;189;0;1442;175;30;1412;583;308;363;47;;;;;;29;19;;;4;21;8;;30;;;
08316056 Waldkirch, Stadt;15391;13671;1720;0;10434;1621;167;10267;3222;2433;3555;338;;;;;;233;82;;;58;115;26;;205;;;
08317001 Achern, Stadt;18649;16903;1746;0;11683;1653;200;11483;5535;2007;2652;493;;;;;;319;115;;;117;;;;245;;;
08317005 Appenweier;7605;6920;685;0;4708;660;90;4618;1960;791;1452;160;;;;;;116;25;;;44;;;;70;;;
08317008 Bad Peterstal-Griesbach;2137;1758;379;0;1439;349;25;1414;806;213;246;61;;;;;;36;10;;;14;;;;28;;;
08317009 Berghaupten;1869;1645;224;0;1261;213;12;1249;560;284;280;52;;;;;;29;8;;;7;;;;29;;;
08317011 Biberach;2773;2507;266;0;1876;260;27;1849;915;331;416;76;;;;;;43;16;;;21;;;;31;;;
08317021 Durbach;3075;2736;339;0;2186;321;45;2141;1056;441;438;114;;;;;;22;14;;;13;;;;43;;;
08317026 Ettenheim, Stadt;9393;8704;689;0;5961;658;103;5858;2321;1297;1595;199;;;;;;142;72;;;50;58;;;124;;;
08317029 Fischerbach;1354;1270;84;0;912;82;32;880;449;133;211;35;;;;;;17;9;;;8;11;;;7;;;
08317031 Friesenheim;9802;8865;937;0;6084;886;115;5969;2537;1403;1391;215;;;;;;180;61;;;34;54;;;94;;;
08317034 Gengenbach, Stadt;8367;7572;795;0;5428;764;75;5353;2295;1236;1342;198;;;;;;107;32;;;26;;;;117;;;
08317039 Gutach (Schwarzwaldbahn);1759;1580;179;0;1222;167;28;1194;487;261;295;84;;;;;;20;8;;;12;9;;;18;;;
08317040 Haslach im Kinzigtal, Stadt;5259;4795;464;0;3481;446;60;3421;1610;613;859;147;;;;;;77;15;;;15;28;;;57;;;
08317041 Hausach, Stadt;4469;4039;430;0;2850;405;67;2783;1179;616;728;93;;;;;;79;21;;;10;16;;;41;;;
08317046 Hofstetten;1286;1224;62;0;885;53;16;869;524;111;156;43;;;;;;13;4;;;3;4;;;11;;;
08317047 Hohberg;6220;5594;626;0;4022;593;80;3942;1669;925;955;120;;;;;;97;77;;;38;;;;61;;;
08317051 Hornberg, Stadt;3041;2696;345;0;1973;329;50;1923;802;555;350;75;;;;;;55;25;;;14;14;;;33;;;
08317056 Kappelrodeck;4504;3962;542;0;2990;523;55;2935;1574;468;522;151;;;;;;58;46;;;45;;;;71;;;
08317057 Kehl, Stadt;23990;22018;1972;0;12901;1865;198;12703;4463;3405;3024;603;;;;;;617;115;;;177;;;;299;;;
08317059 Kippenheim;4065;3708;357;0;2473;347;53;2420;859;716;562;93;;;;;;83;34;;;14;22;;;37;;;
08317065 Lahr/Schwarzwald, Stadt;31518;28932;2586;0;15721;2393;299;15422;5858;3822;3601;703;;;;;;747;168;;;124;134;;;265;;;
08317067 Lautenbach;1498;1334;164;0;1021;160;13;1008;556;157;209;37;;;;;;10;9;;;9;;;;21;;;
08317068 Lauf;3097;2776;321;0;2038;304;44;1994;1033;327;407;89;;;;;;53;24;;;17;;;;44;;;
08317073 Mahlberg, Stadt;3527;3229;298;0;2039;273;31;2008;696;500;553;77;;;;;;60;28;;;15;26;;;53;;;
08317075 Meißenheim;2900;2623;277;0;1811;268;36;1775;629;476;417;90;;;;;;66;24;;;17;21;;;35;;;
08317078 Mühlenbach;1290;1229;61;0;829;60;17;812;492;106;137;39;;;;;;11;4;;;4;9;;;10;;;
