nuts-id	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
DK01	: 	: 	: 	: 	11444.9	: 	: 	: 	: 	12549.4	13265.4	13517.6
DK02	: 	: 	: 	: 	10655.3	: 	: 	: 	: 	11976.6	12655.0	12956.0
DK03	: 	: 	: 	: 	10475.6	: 	: 	: 	: 	11723.3	12462.6	12857.9
DK04	: 	: 	: 	: 	10427.5	: 	: 	: 	: 	11849.4	12573.8	12941.9
DK05	: 	: 	: 	: 	10520.0	: 	: 	: 	: 	11707.4	12455.8	12920.3
EE00	3039.8 	3517.4 	3643.6 	3595.6 	4052.8 	4297.5 	4817.7 	5091.1 	5447.0 	6101.3 	6938.2 	7857.2 
ES11	7635.4 	8069.7 	8507.1 	8895.8 	9781.5 	10295.9 	10984.6 	11185.7 	11495.4 	12307.9 	13085.5 	13750.4 
ES12	8180.4 	8685.1 	9251.5 	9482.4 	10747.0 	11422.1 	12245.5 	12378.0 	12787.3 	13831.3 	14910.6 	15835.5 
ES13	8655.3 	9049.3 	9730.7 	10272.0 	11339.9 	12017.5 	12915.3 	12996.5 	13345.3 	14351.3 	15092.7 	15593.3 
ES21	10479.8 	11163.5 	11999.6 	12671.9 	14106.3 	14946.6 	15846.1 	16080.9 	16563.6 	17648.6 	18810.7 	19640.5 
ES22	10713.3 	11265.9 	11761.4 	12171.2 	14414.4 	15180.3 	16037.4 	16043.0 	16548.2 	17493.7 	18303.3 	19408.6 
ES23	9814.8 	10467.1 	11028.7 	11460.3 	13111.6 	13588.4 	14157.7 	14157.4 	14355.5 	14798.4 	15508.7 	15594.1 
ES24	9596.6 	10112.1 	10467.7 	10860.5 	12339.4 	12949.6 	13946.4 	13951.4 	14160.9 	14983.1 	15809.2 	16271.3 
ES30	10215.4 	10849.1 	11634.7 	12213.8 	14254.8 	14835.4 	15442.8 	15313.6 	15741.8 	16541.8 	17314.6 	17637.5 
ES41	8636.8 	9155.3 	9566.9 	9966.7 	10997.4 	11814.1 	12432.9 	12560.6 	12892.8 	13751.2 	14744.0 	15266.3 
ES42	7541.9 	7944.2 	8452.5 	8728.2 	9544.0 	10106.0 	10745.9 	10755.7 	10850.7 	11351.9 	11767.7 	12198.1 
ES43	6342.8 	6703.4 	7167.8 	7594.8 	8315.0 	8874.8 	9429.0 	9532.8 	9772.9 	10561.0 	11196.4 	11722.6 
ES51	10182.7 	10585.6 	11058.7 	11669.8 	13268.0 	13760.5 	14468.4 	14561.4 	14859.3 	15694.0 	16206.4 	16650.5 
ES52	8355.0 	8948.8 	9433.1 	9864.6 	11190.1 	11580.0 	12073.7 	12016.0 	12082.0 	12571.4 	13014.2 	13338.7 
ES53	10256.3 	11045.3 	11507.4 	11807.7 	13648.9 	14170.6 	14580.3 	14172.6 	14456.3 	15022.3 	15528.5 	15741.5 
ES61	6987.8 	7352.5 	7738.4 	8096.3 	8939.6 	9452.9 	9998.6 	10117.6 	10318.7 	10960.7 	11423.8 	11769.0 
ES62	7173.1 	7710.5 	8142.7 	8452.8 	9620.3 	10090.4 	10875.3 	10545.1 	10559.9 	11176.3 	11446.9 	11852.8 
ES63	: 	: 	: 	: 	10726.7 	11015.5 	11771.9 	12302.9 	12898.1 	13928.3 	14663.0 	14997.7 
ES64	: 	: 	: 	: 	10780.6 	11318.8 	11966.1 	12175.8 	12936.6 	13802.9 	14756.4 	14921.2 
ES70	8005.8 	8391.6 	8942.6 	9637.2 	10528.3 	10965.0 	11579.8 	11526.9 	11600.0 	12119.9 	12621.1 	13071.8 
FI13	7375.0 	7871.1 	8153.1 	8534.7 	8916.3 	9150.1 	9689.7 	9967.6 	10718.3 	10874.1 	11447.0 	12492.6 
FI18	8088.9 	8762.8 	9226.7 	9985.5 	10463.1 	10827.8 	11410.4 	11770.2 	12593.2 	12802.3 	13238.4 	14201.8 
FI19	7593.2 	8187.7 	8588.3 	8981.3 	9415.9 	9676.8 	10216.4 	10471.2 	11246.4 	11366.6 	11955.8 	12953.7 
FI1A	7162.9 	7671.4 	7963.6 	8452.7 	8781.2 	9014.1 	9526.4 	9848.2 	10541.8 	10818.4 	11456.1 	12306.7 
FI20	9561.1 	10543.1 	10960.1 	11899.9 	12636.5 	12928.9 	13780.2 	14140.1 	14810.7 	14187.3 	13538.9 	14888.3 
FR10	13157.4 	13891.9 	14549.1 	15411.0 	16557.9 	18177.2 	19222.8 	18306.0 	19019.6 	19545.1 	19704.1 	21072.4 
FR21	10351.5 	10822.7 	11372.3 	11889.2 	12850.6 	13782.6 	14478.2 	13847.3 	14577.9 	14882.1 	15597.1 	16406.6 
FR22	10379.1 	10845.8 	11441.5 	11863.4 	12735.3 	13923.6 	14582.1 	14069.0 	14607.5 	15301.2 	15549.9 	16567.8 
FR23	10608.8 	11021.7 	11590.1 	12020.7 	12953.1 	14290.5 	14928.3 	14449.2 	14949.8 	15570.8 	15852.0 	16885.9 
FR24	10813.4 	11415.1 	11878.5 	12414.1 	13378.5 	14681.2 	15326.7 	14769.3 	15350.5 	15917.3 	16571.8 	17424.6 
FR25	10268.4 	10769.5 	11122.8 	11517.4 	12384.0 	13577.4 	14176.4 	13725.0 	14227.8 	14974.4 	15871.8 	16530.2 
FR26	10888.1 	11584.4 	12021.6 	12512.9 	13363.1 	14426.0 	15090.2 	14560.3 	15140.5 	15821.6 	16426.7 	17329.0 
